コード,銘柄名,市場・商品区分,33業種区分,規模区分
1301,極洋,東証1部,水産・農林業,TOPIX Small 2
1332,日本水産,東証1部,水産・農林業,TOPIX Mid400
1333,マルハニチロ,東証1部,水産・農林業,TOPIX Mid400
1352,ホウスイ,東証1部,卸売業,TOPIX Small 2
1375,雪国まいたけ,東証1部,水産・農林業,TOPIX Small 1
1376,カネコ種苗,東証1部,水産・農林業,TOPIX Small 2
1377,サカタのタネ,東証1部,水産・農林業,TOPIX Small 1
1379,ホクト,東証1部,水産・農林業,TOPIX Small 1
1380,秋川牧園,JASDAQ,水産・農林業,-
1381,アクシーズ,JASDAQ,水産・農林業,-
1382,ホーブ,JASDAQ,水産・農林業,-
1383,ベルグアース,JASDAQ,水産・農林業,-
1384,ホクリヨウ,東証1部,水産・農林業,TOPIX Small 2
1400,ルーデン・ホールディングス,JASDAQ,建設業,-
1401,エムビーエス,マザーズ,建設業,-
1407,ウエストホールディングス,JASDAQ,建設業,-
1413,ヒノキヤグループ,東証1部,建設業,TOPIX Small 2
1414,ショーボンドホールディングス,東証1部,建設業,TOPIX Mid400
1417,ミライト・ホールディングス,東証1部,建設業,TOPIX Mid400
1418,インターライフホールディングス,JASDAQ,建設業,-
1419,タマホーム,東証1部,建設業,TOPIX Small 1
1420,サンヨーホームズ,東証1部,建設業,TOPIX Small 2
1429,日本アクア,東証1部,建設業,TOPIX Small 2
1430,ファーストコーポレーション,東証1部,建設業,TOPIX Small 2
1431,Ｌｉｂ　Ｗｏｒｋ,マザーズ,建設業,-
1433,ベステラ,東証1部,建設業,TOPIX Small 2
1434,ＪＥＳＣＯホールディングス,東証2部,建設業,-
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,東証1部,建設業,TOPIX Small 2
1436,フィット,マザーズ,建設業,-
1439,安江工務店,JASDAQ,建設業,-
1443,技研ホールディングス,東証2部,建設業,-
1446,キャンディル,東証1部,建設業,TOPIX Small 2
1447,ＩＴｂｏｏｋホールディングス,マザーズ,建設業,-
1450,田中建設工業,JASDAQ,建設業,-
1451,ＫＨＣ,東証2部,建設業,-
1491,中外鉱業,東証2部,非鉄金属,-
1514,住石ホールディングス,東証1部,鉱業,TOPIX Small 2
1515,日鉄鉱業,東証1部,鉱業,TOPIX Small 2
1518,三井松島ホールディングス,東証1部,鉱業,TOPIX Small 2
1605,ＩＮＰＥＸ,東証1部,鉱業,TOPIX Mid400
1662,石油資源開発,東証1部,鉱業,TOPIX Small 1
1663,Ｋ＆Ｏエナジーグループ,東証1部,鉱業,TOPIX Small 2
1711,ＳＤＳホールディングス,東証2部,建設業,-
1712,ダイセキ環境ソリューション,東証1部,建設業,TOPIX Small 2
1716,第一カッター興業,東証1部,建設業,TOPIX Small 2
1717,明豊ファシリティワークス,東証1部,サービス業,TOPIX Small 2
1718,美樹工業,JASDAQ,建設業,-
1719,安藤・間,東証1部,建設業,TOPIX Small 1
1720,東急建設,東証1部,建設業,TOPIX Small 1
1721,コムシスホールディングス,東証1部,建設業,TOPIX Mid400
1723,日本電技,JASDAQ,建設業,-
1724,シンクレイヤ,JASDAQ,建設業,-
1726,ビーアールホールディングス,東証1部,建設業,TOPIX Small 2
1730,麻生フオームクリート,JASDAQ,建設業,-
1736,オーテック,JASDAQ,建設業,-
